"replicate","max_LRT","argmax_breakpoint_m","n_singular","n_warn"
342,0.378351493552373,0.6,41,0
343,0.640332131286641,0.23,0,0
344,2.70344861129468,0.6,3,4
345,0.638998141529328,0.6,0,0
346,2.06978494761927,0.6,0,0
347,0.790457566899022,0.33,0,0
348,3.45989877053535,0.43,0,0
349,2.0742979865488,0.24,0,0
350,1.26445567187915,0.51,0,3
351,1.07731232044864,0.6,0,4
352,0.940944126783734,0.6,0,0
353,6.16591127259187,0.23,0,0
354,4.84305319666817,0.56,0,0
355,5.61179319586518,0.2,17,4
356,6.96425756935747,0.5,41,0
357,0.883879659507102,0.25,0,2
358,0.30662080073364,0.47,0,1
359,0.250449041563229,0.21,0,1
360,0.64120467164463,0.56,0,2
361,1.42094987330216,0.21,0,0
362,3.3289336177528,0.2,0,0
363,3.66712122096965,0.23,36,0
364,0.918703882731847,0.22,19,0
365,0.354821879275278,0.2,0,0
366,0.909464286801267,0.6,0,2
367,0.298943420613227,0.6,7,2
368,1.2601857903295,0.55,21,22
369,0.340055796972138,0.53,0,1
370,0.374760250960662,0.49,0,0
371,1.14665454816668,0.34,18,1
372,3.39608924074372,0.2,0,1
373,0.30583396810465,0.6,39,0
374,4.30543955377686,0.47,0,0
375,1.31765451858837,0.2,0,0
376,5.23505298220437,0.25,10,3
377,2.98424310306888,0.47,0,0
378,6.3677303660736,0.2,0,0
379,4.20287529680354,0.34,0,0
380,0.828289978088264,0.31,0,1
381,8.4829392499413,0.37,0,1
382,2.55810216575526,0.2,0,1
383,1.53705717137211,0.53,0,0
384,1.8962192936159,0.51,17,4
385,0.533129362196973,0.43,35,6
386,1.45978848336358,0.52,26,16
387,2.63255595385601,0.28,40,0
388,0.838665300237608,0.55,0,0
389,5.09858519056678,0.25,27,0
390,0.621563991251492,0.29,0,1
391,1.08670189128293,0.34,41,0
392,0.683422483494894,0.24,0,0
393,3.9753251955575,0.55,0,0
394,1.80800007195933,0.23,0,2
395,5.17818668160885,0.6,0,1
396,2.73877158096309,0.2,0,0
397,1.0231643830931,0.26,0,0
398,8.359387599623,0.29,0,0
399,6.00324909827907,0.3,27,0
400,1.45815729658113,0.6,0,2
401,2.90121760301668,0.42,33,10
402,1.7828969020735,0.2,24,0
403,2.11486407707355,0.6,4,2
404,1.87869965970413,0.5,0,0
405,1.29027338608387,0.47,0,2
406,0.72314488237248,0.56,35,0
407,5.38934619063718,0.28,6,3
408,0.672810153404612,0.58,0,0
409,1.87807949889526,0.55,0,0
410,1.48156593953172,0.28,20,0
411,2.9354391665272,0.6,0,0
412,1.91903216355354,0.22,33,3
413,0.23443227412838,0.31,0,0
414,1.75610974518167,0.6,0,0
415,0.848711352271948,0.24,0,0
416,2.93377237155499,0.45,5,15
417,0.465034959971092,0.21,10,1
418,3.31319164653632,0.6,2,6
419,1.85103093465614,0.49,0,1
420,3.39516302752054,0.6,33,0
421,0.120521309422998,0.6,0,2
422,2.64853001769222,0.54,0,1
423,0.404945101639896,0.57,30,0
424,1.94397386152582,0.34,27,2
425,6.12023923126299,0.2,41,0
426,18.283854382244,0.25,31,0
427,5.13964156455893,0.6,41,0
428,5.04344603976017,0.41,0,20
429,2.31067120977804,0.6,41,0
430,0.756659047831363,0.54,40,0
431,2.91241186583443,0.41,0,0
432,1.45607032752537,0.2,0,1
433,0.856333014563518,0.6,18,2
434,3.73407248628246,0.26,26,1
435,1.55754814317396,0.57,0,0
436,0.881175839025673,0.6,0,0
437,0.236714887564744,0.51,0,1
438,2.07163813967196,0.6,0,0
439,1.10657758618015,0.6,27,1
440,2.60965962499631,0.55,0,0
441,2.97714283946755,0.47,1,21
442,0.741505023332707,0.57,12,0
443,1.2018462705945,0.27,0,0
444,1.26370742583401,0.37,25,3
445,1.63065681529633,0.51,0,1
446,0.739072893023604,0.39,22,2
447,2.34633320945841,0.26,0,0
448,3.17330658730452,0.3,0,0
449,2.47550682543977,0.59,36,0
450,0.811500373554168,0.2,35,0
451,3.7549284301806,0.21,0,0
452,2.58084552557807,0.57,10,4
453,2.14877034872165,0.41,0,0
454,1.04371844862845,0.2,0,0
455,1.51840898034561,0.31,0,0
456,3.20570321206083,0.43,21,3
457,2.13702160866831,0.6,37,0
458,1.55909688054783,0.45,0,0
459,1.81101580935092,0.33,0,0
460,1.92056665835878,0.21,0,1
461,0.810913282989873,0.47,33,0
462,0.782423206738258,0.49,0,0
463,2.97492901279429,0.31,0,0
464,4.02403134256076,0.3,0,0
465,1.3106560447477,0.6,0,0
466,1.63837165676227,0.2,0,0
467,11.0827340729477,0.29,28,0
