"subset","optimizer","logLik_REML","est","se","df","p","sd_int","sd_slope","cor_int_slope","singular","dLogLik"
"signed_3sd","bobyqa",346.050094311286,0.309125399990658,0.0509182764202791,29.7178845298594,1.1877611403493e-06,0.0384982522627382,0.19972118735964,-0.558476966656902,FALSE,0
"signed_3sd","bobyqa",346.050094311286,0.309125399990658,0.0509182764202791,29.7178845298594,1.1877611403493e-06,NA,NA,-0.558476966656902,FALSE,0
"signed_3sd","Nelder_Mead",346.050094311285,0.30912539945263,0.050918276932889,29.7178931469703,1.18775998925826e-06,0.0384982198623426,0.199721191108856,-0.558476988855531,FALSE,-1.19371179607697e-12
"signed_3sd","Nelder_Mead",346.050094311285,0.30912539945263,0.050918276932889,29.7178931469703,1.18775998925826e-06,NA,NA,-0.558476988855531,FALSE,-1.19371179607697e-12
"signed_3sd","nlminbwrap",346.050094311285,0.30912539945263,0.050918276932889,29.7178931469703,1.18775998925826e-06,0.0384982198623426,0.199721191108856,-0.558476988855531,FALSE,-1.19371179607697e-12
"signed_3sd","nlminbwrap",346.050094311285,0.30912539945263,0.050918276932889,29.7178931469703,1.18775998925826e-06,NA,NA,-0.558476988855531,FALSE,-1.19371179607697e-12
"signed_3sd","nloptwrap.NLOPT_LN_NELDERMEAD",346.050094311285,0.30912539945263,0.050918276932889,29.7178931469703,1.18775998925826e-06,0.0384982198623426,0.199721191108856,-0.558476988855531,FALSE,-1.19371179607697e-12
"signed_3sd","nloptwrap.NLOPT_LN_NELDERMEAD",346.050094311285,0.30912539945263,0.050918276932889,29.7178931469703,1.18775998925826e-06,NA,NA,-0.558476988855531,FALSE,-1.19371179607697e-12
"signed_3sd","nloptwrap.NLOPT_LN_BOBYQA",346.050094311285,0.30912539945263,0.050918276932889,29.7178931469703,1.18775998925826e-06,0.0384982198623426,0.199721191108856,-0.558476988855531,FALSE,-1.19371179607697e-12
"signed_3sd","nloptwrap.NLOPT_LN_BOBYQA",346.050094311285,0.30912539945263,0.050918276932889,29.7178931469703,1.18775998925826e-06,NA,NA,-0.558476988855531,FALSE,-1.19371179607697e-12
"both","bobyqa",340.004805481111,0.317545542059213,0.0503353353385623,30.2867996359952,5.66284096447427e-07,0.0428092497470391,0.19447709484383,-0.412490783602807,FALSE,0
"both","bobyqa",340.004805481111,0.317545542059213,0.0503353353385623,30.2867996359952,5.66284096447427e-07,NA,NA,-0.412490783602807,FALSE,0
"both","Nelder_Mead",340.004805481111,0.317545540840044,0.0503353382294558,30.2868117540803,5.6628371363393e-07,0.0428092482151443,0.194477118795024,-0.41249076741987,FALSE,-3.97903932025656e-13
"both","Nelder_Mead",340.004805481111,0.317545540840044,0.0503353382294558,30.2868117540803,5.6628371363393e-07,NA,NA,-0.41249076741987,FALSE,-3.97903932025656e-13
"both","nlminbwrap",340.004805481111,0.317545540840044,0.0503353382294558,30.2868117540803,5.6628371363393e-07,0.0428092482151443,0.194477118795024,-0.41249076741987,FALSE,-3.97903932025656e-13
"both","nlminbwrap",340.004805481111,0.317545540840044,0.0503353382294558,30.2868117540803,5.6628371363393e-07,NA,NA,-0.41249076741987,FALSE,-3.97903932025656e-13
"both","nloptwrap.NLOPT_LN_NELDERMEAD",340.004805481111,0.317545540840044,0.0503353382294558,30.2868117540803,5.6628371363393e-07,0.0428092482151443,0.194477118795024,-0.41249076741987,FALSE,-3.97903932025656e-13
"both","nloptwrap.NLOPT_LN_NELDERMEAD",340.004805481111,0.317545540840044,0.0503353382294558,30.2868117540803,5.6628371363393e-07,NA,NA,-0.41249076741987,FALSE,-3.97903932025656e-13
"both","nloptwrap.NLOPT_LN_BOBYQA",340.004805481111,0.317545540840044,0.0503353382294558,30.2868117540803,5.6628371363393e-07,0.0428092482151443,0.194477118795024,-0.41249076741987,FALSE,-3.97903932025656e-13
"both","nloptwrap.NLOPT_LN_BOBYQA",340.004805481111,0.317545540840044,0.0503353382294558,30.2868117540803,5.6628371363393e-07,NA,NA,-0.41249076741987,FALSE,-3.97903932025656e-13
