participantId,level,run_id,run_start,run_end,run_samples,run_duration,levelTime,n_runs,run_dur_diff,is_matched_run
P003,16,18,1004.33,1038.607,311,34.27699999999993,34.4024658203125,1,-0.12546582031257003,TRUE
P003,17,19,1038.718,1055.964,159,17.245999999999867,17.4075927734375,1,-0.1615927734376328,TRUE
P003,18,20,1056.07,1083.88,254,27.810000000000173,27.8388671875,1,-0.028867187499827196,TRUE
P003,19,21,1083.98,1095.785,110,11.805000000000064,11.9857177734375,1,-0.18071777343743634,TRUE
P003,20,22,1095.895,1163.799,614,67.904,67.9173583984375,1,-0.013358398437503638,TRUE
P003,21,23,1163.91,1209.026,407,45.115999999999985,45.324462890625,1,-0.20846289062501455,TRUE
P003,22,24,1209.137,1227.792,171,18.654999999999973,18.7320556640625,1,-0.07705566406252728,TRUE
P003,23,25,1227.9,1264.707,338,36.807000000000016,36.8939208984375,1,-0.08692089843748363,TRUE
P003,24,26,1264.818,1285.815,190,20.99700000000007,21.1640625,1,-0.16706249999992906,TRUE
P004,1,1,115.018,138.905,216,23.887,24.025665283203125,1,-0.13866528320312455,TRUE
P004,2,2,139.015,174.462,320,35.447,35.62532043457031,1,-0.17832043457030977,TRUE
P004,3,3,174.572,195.528,190,20.95599999999999,21.0670166015625,1,-0.11101660156251114,TRUE
P004,4,4,195.639,228.373,296,32.73399999999998,32.78874206542969,1,-0.054742065429707054,TRUE
P004,5,5,228.484,262.168,311,33.684,33.78289794921875,1,-0.0988979492187525,TRUE
P004,6,6,262.269,295.94,304,33.67099999999999,33.784759521484375,1,-0.11375952148438273,TRUE
P004,7,7,296.051,313.271,156,17.220000000000027,17.35870361328125,1,-0.13870361328122272,TRUE
P004,8,8,313.383,359.767,419,46.384000000000015,46.482086181640625,1,-0.09808618164061045,TRUE
P004,9,9,359.879,395.989,326,36.10999999999996,36.2076416015625,1,-0.0976416015625432,TRUE
P004,10,10,396.099,407.988,108,11.88900000000001,11.95782470703125,1,-0.06882470703124,TRUE
P004,11,11,408.099,447.987,360,39.888000000000034,40.06793212890625,1,-0.17993212890621635,TRUE
P004,12,12,448.098,461.652,123,13.553999999999974,13.6099853515625,1,-0.055985351562526375,TRUE
P004,13,13,461.763,474.982,120,13.219000000000051,13.398956298828125,1,-0.17995629882807407,TRUE
P004,14,14,475.095,507.983,297,32.88799999999998,32.931732177734375,1,-0.04373217773439819,TRUE
P004,15,15,508.094,571.866,575,63.77199999999999,63.952789306640625,1,-0.18078930664063364,TRUE
P004,16,16,571.979,606.058,308,34.07899999999995,34.20623779296875,1,-0.1272377929687991,TRUE
P004,17,17,606.17,638.835,295,32.66500000000008,32.73468017578125,1,-0.06968017578117269,TRUE
