participantId,level,run_id,run_start,run_end,run_samples,run_duration,gap_to_next_s,gap_from_prev_s
P011,21,21,649.181,667.736,168,18.55499999999995,0.11099999999999,0.11099999999999
P011,22,22,667.847,703.049,320,35.202,0.11199999999996635,0.11099999999999
P011,23,23,703.161,744.845,380,41.68400000000008,0.10599999999999454,0.11199999999996635
P011,24,24,744.951,764.033,173,19.081999999999994,NA,0.10599999999999454
P012,1,1,272.879,329.988,515,57.10899999999998,0.1150000000000091,NA
P012,2,2,330.103,356.64,240,26.536999999999978,0.10900000000003729,0.1150000000000091
P012,3,3,356.749,447.443,824,90.69399999999996,0.10599999999999454,0.10900000000003729
P012,4,4,447.549,490.844,391,43.295000000000016,0.11200000000002319,0.10599999999999454
P012,5,5,490.956,597.225,958,106.269,0.11099999999999,0.11200000000002319
P012,6,6,597.336,633.43,326,36.09399999999994,0.11200000000008004,0.11099999999999
P012,7,7,633.542,719.91,785,86.36799999999994,0.11099999999999,0.11200000000008004
P012,8,8,720.021,761.659,376,41.638000000000034,0.10800000000006094,0.11099999999999
P012,9,9,761.767,925.471,1478,163.70399999999995,0.11199999999996635,0.10800000000006094
P012,10,10,925.583,1001.096,681,75.51300000000003,0.10400000000004184,0.11199999999996635
P012,11,11,1001.2,1021.396,183,20.195999999999913,0.11200000000008004,0.10400000000004184
P012,12,12,1021.508,1038.727,156,17.21900000000005,0.11099999999987631,0.11200000000008004
P012,13,13,1038.838,1073.393,312,34.555000000000064,0.11200000000008004,0.11099999999987631
P012,14,14,1073.505,1180.801,977,107.29599999999982,0.11000000000012733,0.11200000000008004
P012,15,15,1180.911,1197.469,150,16.557999999999993,0.11099999999987631,0.11000000000012733
P012,16,16,1197.58,1229.03,285,31.450000000000045,0.11100000000010368,0.11099999999987631
P012,17,17,1229.141,1246.367,156,17.225999999999885,0.11100000000010368,0.11100000000010368
P012,18,18,1246.478,1303.794,517,57.31600000000003,0.11099999999987631,0.11100000000010368
P012,19,19,1303.905,1322.275,167,18.37000000000012,0.11099999999987631,0.11099999999987631
P012,20,20,1322.386,1330.981,79,8.595000000000027,0.11200000000008004,0.11099999999987631
P012,21,21,1331.093,1344.981,126,13.88799999999992,0.11100000000010368,0.11200000000008004
P012,22,22,1345.092,1359.43,131,14.337999999999965,0.10199999999986176,0.11100000000010368
P012,23,23,1359.532,1368.968,86,9.43600000000015,0.11099999999987631,0.10199999999986176
P012,24,24,1369.079,1396.41,247,27.33100000000013,NA,0.11099999999987631
P013,1,1,51.189,73.4,201,22.211000000000006,0.11399999999999011,NA
P013,2,2,73.514,89.636,148,16.122,0.1110000000000042,0.11399999999999011
P013,3,3,89.747,118.416,259,28.668999999999997,0.10999999999999943,0.1110000000000042
P013,4,4,118.526,160.527,379,42.00099999999999,0.11100000000001842,0.10999999999999943
P013,5,5,160.638,176.527,144,15.888999999999982,0.11000000000001364,0.11100000000001842
P013,6,6,176.637,198.637,199,22,0.11099999999999,0.11000000000001364
P013,7,7,198.748,219.529,188,20.781000000000006,0.11099999999999,0.11099999999999
P013,8,8,219.64,238.637,172,18.997000000000014,0.11299999999999955,0.11099999999999
P013,9,9,238.75,251.067,112,12.317000000000007,0.11099999999999,0.11299999999999955
P013,10,10,251.178,261.403,93,10.225000000000023,0.1099999999999568,0.11099999999999
P013,11,11,261.513,271.845,94,10.33200000000005,0.11099999999999,0.1099999999999568
P013,12,12,271.956,286.625,133,14.668999999999983,0.11000000000001364,0.11099999999999
P013,13,13,286.735,306.154,176,19.418999999999983,0.11099999999999,0.11000000000001364
P013,14,14,306.265,319.262,118,12.997000000000014,0.11200000000002319,0.11099999999999
P013,15,15,319.374,341.031,197,21.656999999999982,0.11599999999998545,0.11200000000002319
P013,16,16,341.147,364.502,217,23.355000000000018,0.103999999999985,0.11599999999998545
P013,17,17,364.606,387.785,212,23.17900000000003,0.11099999999999,0.103999999999985
P013,18,18,387.896,429.762,379,41.865999999999985,0.11099999999999,0.11099999999999
P013,19,19,429.873,457.208,247,27.335000000000036,0.11199999999996635,0.11099999999999
P013,20,20,457.32,478.194,189,20.874000000000024,0.11199999999996635,0.11199999999996635
P013,21,21,478.306,494.194,144,15.888000000000034,0.11099999999999,0.11199999999996635
P013,22,22,494.305,557.012,566,62.70699999999994,0.11200000000008004,0.11099999999999
